,addy,token,hold,price,holder_count
0,CMkUEmBaqB1Pgbd1iJTUtyvPWPto5YEL4KK4Q4EtP1jb,1288zHt4KuJpstzRu88ayMxzyxFXkdS7eAp4e4K8yFEf,1663044509,-1.0,2
1,,12c8HGvixKPRD9wPHDKKVuKug6szpQv52NSJf6M5DT5S,,0.0,0
2,,12f6dt23HeiosBuQLFdLVUufLwmUCZrLkMrrxVBrhpyD,,0.0,0
3,siLeAtxigfMGTgjozq9jNDjudPG86GfrGBiL88u3yXo,12ge5kejFndBwmG7sJWgDqrfM2xJ3cJ1dqNXBEn8f72K,1668684421,0.0,1
4,HoP7Lvi9CxFemJUZ7QhgZqw9wCpszkrcdxEpMnTX5tSo,12jaHunWPPr6GhyuhZ6FCCqFeZ12f6Yd9Dks6phrxNk9,1667591450,15.0,1
5,,12LeMXShExejkwqbB6fc19r6wURLNRTjq2Zm2NJUP33x,,0.0,0
6,,12YJUex4NQ3SA8RNi9s9b7qVuT3vD27gEJStLVe41GQf,,0.0,0
7,,12zC37ZkpNogq7RotUEbjQXe5f7yroyneozTKEuAXpdv,,0.0,0
8,,12ZDFHH4ELsB1ZvHW3pgvhovBwV6jLf7kDyfPgAiJ4er,,0.0,0
9,Eb3Hsi4Whu9hhnphGGAGqvsgJpnRzJRjSEcMkNo7xSsr,138LvYsaYthxXnLL6Ay568XHAFqC7vfUutQomB354pKF,1672790753,14.3,6
10,6v349NtxEuswVnAp6YWSoZJ7m5wTsapoViLzUx2Rzs5F,13FQ7vFa2TfY6pwpfVBD4FqwJgvdNmMm4ZVyvdMgkHUg,1671552088,0.0,3
11,2Mnt4HrhJz771Cfx4Jx9q5t7yP95FRjnqkRKoMatjrgB,13FsXf59gp1dX3hhHB4V9vyWwKrBHA3rMLtBZ9Djrgwr,1644294631,0.49,1
12,,13HjHPiQ3JAgeybyxECRDKXa1gksaWUTpZZUt89Jfk48,,0.0,0
13,EaHbYPYtNFV2UtKR4dEAXS8vhCp55vCuoHVRCGHeEn7e,13iV3wo89hepiHG7SQig6QAMpaKD13uvodyhk9hkoABC,1670973481,0.0,7
14,,13ne7FGWUQYDVYsbFPMmNHqYJtSagHnWVgUGtU6CCaa,,0.0,0
15,E5vSqkdGKJWuJFTo6aa5jiXCQquVcDMprrWM5bQnsagy,13XQWg8s4yPEaURGkGEbCodJoQA5HhVUGnRWrNABGkLu,1669669396,0.0,4
16,66kDYpYtuGkaZF2ho64VgEQuAgBPGjY17HtcTtANtNR8,148rTzAHKVCSdneFQnqqaazExsjxQh4FZYA7vV6YpwKA,1650837654,-1.0,3
